iso3,name,allocation_class,wpp_population_2100,population_2226,earth_share_2226,superseded_v4_diagnostic_central_population_2226
ABW,Aruba,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,75415.0,37404.82919942218,4.499808021480114e-06,53898.84747356247
AFG,Afghanistan,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,129940523.0,64448757.792197704,0.007753197741970714,169468571.12131348
AGO,Angola,RECOVERED_V2_1_NAMED_80_RENORMALIZED,149486497.0,87242959.96186487,0.010495344570645238,232613337.20574123
AIA,Anguilla,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,9369.0,4646.898425636629,5.590227587780573e-07,5373.475958009096
ALB,Albania,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1192748.0,591587.021387687,7.116803047144951e-05,584049.4177867289
AND,Andorra,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,47504.0,23561.34729548964,2.8344345322865655e-06,25324.656257169197
ARE,United Arab Emirates,RECOVERED_V2_1_NAMED_80_RENORMALIZED,26015286.0,16407058.775026282,0.0019737722712525967,41286297.44678343
ARG,Argentina,RECOVERED_V2_1_NAMED_80_RENORMALIZED,38405794.0,38477334.27834564,0.004628830585157334,26131194.66629165
ARM,Armenia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1698238.0,842303.2862158499,0.00010132924451080484,1186080.338599366
ASM,American Samoa,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,32369.0,16054.590152570398,1.9313702293613978e-06,26869.580254709817
ATG,Antigua and Barbuda,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,68243.0,33847.61332700614,4.071874279783431e-06,45046.63328205223
AUS,Australia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,43035124.0,33752821.81471262,0.004060470842940758,56814216.97268198
AUT,Austria,RECOVERED_V2_1_NAMED_80_RENORMALIZED,7406830.0,8576633.80324895,0.001031770667348838,6593973.199485519
AZE,Azerbaijan,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,10038455.0,4978939.13281291,0.0005989673186006387,8590712.00334534
BDI,Burundi,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,37822574.0,18759489.761353925,0.0022567701634717925,45789992.42147607
BEL,Belgium,RECOVERED_V2_1_NAMED_80_RENORMALIZED,11070031.0,11714898.41066905,0.0014093044926928194,10299770.694931872
BEN,Benin,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,39506383.0,19594636.456964213,0.002357238468780291,51032349.5493148
BES,"Bonaire, Sint Eustatius and Saba",WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,27949.0,13862.329394611821,1.6676408458840777e-06,20487.834595717017
BFA,Burkina Faso,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,49845642.0,24722770.342047933,0.002974153944274032,52305743.61179434
BGD,Bangladesh,RECOVERED_V2_1_NAMED_80_RENORMALIZED,209120273.0,180610004.92013842,0.021727417723692116,166661149.66780007
BGR,Bulgaria,RECOVERED_V2_1_NAMED_80_RENORMALIZED,3544133.0,4430940.047238213,0.0005330429250447691,2498884.514958898
BHR,Bahrain,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,3080447.0,1527860.4242242586,0.00018380189777026263,4296189.918731449
BHS,Bahamas,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,385444.0,191175.0578259243,2.2998395584848918e-05,337485.29194562294
