iso3,name,population,median_age_approx,under_20_share,age_20_64_share,age_65_plus_share,age_80_plus_share,age_100_plus_share,age_120_plus_share,age_150_plus_share
ABW,Aruba,44740.689243331224,49.220660798665705,0.1969425235797428,0.4703007358073075,0.33275674061294963,0.18186807077290365,0.03769004382838348,0.0019706624158709017,1.2403912180669959e-05
AFG,Afghanistan,101581021.86046277,44.894630325199614,0.21672167346030727,0.5114329819511562,0.2718453445885366,0.12296070451828535,0.012987816037307438,0.0001239187277295691,4.142067666567887e-08
AGO,Angola,125096854.95493816,44.192796898026884,0.22030968639189033,0.5181776144461921,0.26151269916191744,0.11401423353531034,0.010613428197863324,7.323449549802564e-05,1.3950396003009744e-08
AIA,Anguilla,4914.15401514686,51.13551260974017,0.18921767582373306,0.4531805158162022,0.35760180836006467,0.20828202007239432,0.053983053552784196,0.004816076741079988,7.528523394894436e-05
ALB,Albania,587114.5213924556,51.351847825825,0.1883432453515376,0.4513904939257425,0.36026626072272,0.211087620699854,0.05576434060570228,0.005193879007523787,8.779121521440283e-05
AND,Andorra,23852.81825939988,53.10767910032727,0.1817869271940468,0.4364729999799172,0.381740072826036,0.2349113781802639,0.07342140111246905,0.010045652808008149,0.00032653398329532065
ARE,United Arab Emirates,25197806.50214659,53.984637683150034,0.17863221365648663,0.4294012720563282,0.3919665142871851,0.2463946244552386,0.08271376540928077,0.013279233229220758,0.0005676740087645933
ARG,Argentina,22307881.89309815,50.5421664047366,0.1915421014439365,0.45844776900848716,0.3500101295475764,0.20004870771769712,0.04850595529095311,0.003694199084060914,4.408804272621745e-05
ARM,Armenia,1011121.4730687024,49.67227977252848,0.19509823457713377,0.4661197489972859,0.3387820164255803,0.18823990340090574,0.04139746594046569,0.0025023097047189467,2.0139631984464596e-05
ASM,American Samoa,20913.25343999353,47.915929602357444,0.20257356421847172,0.4822722568096358,0.3151541789718924,0.16402188167200749,0.028610310499871058,0.0009811369018799304,3.0034185768442995e-06
ATG,Antigua and Barbuda,40024.45988455156,50.84893049440592,0.19032748433494637,0.45573203706809173,0.353940478596962,0.2042779261674645,0.05125902612925193,0.00423408947335909,5.789479533306969e-05
AUS,Australia,32438208.976382185,53.28316658449284,0.18114461973687856,0.4350509588071075,0.3838044214560139,0.23719891511373556,0.07518423070112881,0.010592584413839461,0.00035605484338942174
AUT,Austria,4779214.714207116,52.34080222103208,0.18460505241191283,0.4428751204835416,0.3725198271045455,0.22461185358509989,0.06551485343709194,0.00766304129032177,0.00018902526107424333
AZE,Azerbaijan,6537318.200059461,49.11820834398223,0.19737698342652507,0.4712172628970467,0.33140575367642816,0.18048628956292,0.036936933591839666,0.001872693218358697,1.117925573519415e-05
BDI,Burundi,29399479.290537994,43.5533630638373,0.22362618144258645,0.524548625237009,0.25182519332040465,0.10576581432273342,0.008619996596297587,4.168020732671846e-05,4.2131202756051125e-09
BEL,Belgium,7311833.066194187,52.38938745967125,0.18441988785444008,0.4424769159304234,0.3731031962151365,0.22524661259194373,0.06597228894631016,0.007786957709211744,0.00019488188231580125
BEN,Benin,30026634.232298937,42.418047301336514,0.22971033610785477,0.5360472539640248,0.2342424099281204,0.09141552512681884,0.00571945549885946,1.3255620901522967e-05,3.4826521408475155e-10
BES,"Bonaire, Sint Eustatius and Saba",16369.197066420485,50.391846066926924,0.19214396594422198,0.4597805404201428,0.3480754936356352,0.19798085179316047,0.04719646472413858,0.003452725251526124,3.850037267373264e-05
BFA,Burkina Faso,34870433.29010539,42.357024189895334,0.23006775564075105,0.5365734035415928,0.23335884081765615,0.0907727001930291,0.0056273996894695205,1.2772180256403707e-05,3.253098007960162e-10
BGD,Bangladesh,135556325.18736535,50.984813174519545,0.18976845185854335,0.4546071241954647,0.35562442394599203,0.20602990763879894,0.05232992713102001,0.004444591938557769,6.382640602716401e-05
BGR,Bulgaria,2105866.3218486044,49.54464863907614,0.19561605965255588,0.4672943857048259,0.3370895546426183,0.18644385826468132,0.04032945231213518,0.0023407033034416875,1.7572684489473244e-05
BHR,Bahrain,2552594.8587524295,53.26530909547718,0.18118124126109494,0.43525945207226346,0.3835593066666416,0.236875179939004,0.07493713163893446,0.010566734980410396,0.0003676434041316064
BHS,Bahamas,259128.852755475,50.010627923613235,0.19371129069386478,0.46311393882198704,0.3431747704841482,0.1928403121353939,0.04412449449133539,0.0029331784233139553,2.770136962057104e-05
BIH,Bosnia and Herzegovina,750565.4799420288,50.874830942681825,0.19023132917438682,0.4554828595668419,0.35428581125877123,0.204674518529358,0.05152858158054246,0.004288790534988626,5.950165500392984e-05
BLM,Saint Barthélemy,4616.7107255943665,53.0896224852599,0.18187016566821848,0.43658119959926184,0.3815486347325196,0.23474735565784347,0.07339091779558342,0.010070764194372707,0.0003302988226393653
BLR,Belarus,2265111.633188689,49.23461692484399,0.19693584734752886,0.4700090497378454,0.33305510291462576,0.1823363494333036,0.03811721868482867,0.002045128343807732,1.354297130131346e-05
BLZ,Belize,249482.38071537836,49.24721344067841,0.1968388785286237,0.4700286457756506,0.3331324756957257,0.1822864533569403,0.037940426773510914,0.0020050601251809332,1.2872413312148593e-05
BMU,Bermuda,19919.81130194925,52.45009181060338,0.18423288714561314,0.4418599786030689,0.373907134251318,0.2262614708249665,0.06693728969307677,0.008125529412437812,0.0002156506904039447
BOL,Bolivia (Plurinational State of),12241634.441517891,46.25267853212334,0.21017140877349036,0.49807444473527274,0.2917541464912368,0.14131557481937704,0.01910225209773516,0.00034569372533312185,3.531929254861886e-07
BRA,Brazil,96456012.66382432,50.063216361173495,0.19347714045101327,0.46269921234650874,0.3438236472024779,0.1934742635228757,0.04443308987769436,0.002975162878060128,2.8508334927923217e-05
BRB,Barbados,116685.07869785937,49.643662342727794,0.19518299614074675,0.4664835214014792,0.33833348245777406,0.1876688681037093,0.040967621868163745,0.0024289036738318914,1.8935429599470693e-05
BRN,Brunei Darussalam,301435.66132527345,49.91393453447652,0.1940714149300749,0.4640702555582803,0.34185832951164474,0.19136708242577968,0.043117605677637325,0.002756355344263656,2.4480873752418338e-05
BTN,Bhutan,406352.1503981717,49.55933566558907,0.19551672759850428,0.4672850963230411,0.33719817607845465,0.1864491921941416,0.04022420525426371,0.0023180543587510336,1.7360682144553466e-05
BWA,Botswana,2628899.6946913437,45.97383816973589,0.21150093001745943,0.5007488668291864,0.28775020315335426,0.13757818672447697,0.017768379138670395,0.0002866297874921585,2.403753120097974e-07
CAF,Central African Republic,14341202.424718974,42.47594238734098,0.22940859864922605,0.5353942556929452,0.23519714565782873,0.09220924909708524,0.005875717869169553,1.4397089501088479e-05,4.2168123604780985e-10
