iso3,name,population,median_age_approx,under_20_share,age_20_64_share,age_65_plus_share,age_80_plus_share,age_100_plus_share,age_120_plus_share,age_150_plus_share
ABW,Aruba,45845.733151881286,50.292148809653675,0.19256352651130823,0.46024841830508567,0.3471880551836061,0.19791450882347283,0.04840106388274212,0.0038683396298513687,5.3546288679759464e-05
AFG,Afghanistan,103951734.57671268,45.75975264105998,0.21249807238830914,0.5022486066426284,0.28525332096906236,0.13626115427193763,0.018049884600452475,0.00032230988633511566,3.5038135471505926e-07
AGO,Angola,128007980.07828894,45.03262709517542,0.21608725319273633,0.5091306716896715,0.2747820751175921,0.12684335586570905,0.014971437059136101,0.00020068867985563796,1.340825063080003e-07
AIA,Anguilla,5042.946147196912,52.33579298467187,0.18465685744440866,0.4425689652640498,0.37277417729154155,0.2256949980148713,0.06771411943735212,0.008655080418949735,0.0002646193567194928
ALB,Albania,602664.8740536497,52.570286741958,0.183754205012388,0.4406869930273609,0.3755588019602511,0.2286973647631922,0.06986403762301148,0.00928757421953495,0.000304666432935843
AND,Andorra,24534.357070378148,54.48670667296346,0.17694302488197947,0.42507964323855907,0.39797733187946144,0.2540038321015807,0.09053334342536797,0.016850554400586647,0.0009737405901223136
ARE,United Arab Emirates,25948498.03270458,55.44974354101349,0.17365123586244266,0.4176326475267816,0.40871611661077567,0.2662627973610122,0.10135466810675711,0.02169015708197589,0.001571303976839557
ARG,Argentina,22880973.13879486,51.69782175345735,0.1870463513821453,0.44802144682783,0.36493220179002467,0.21702555008830576,0.06127230087631102,0.006819315609469529,0.00016478386575696777
ARM,Armenia,1036402.2008168334,50.77181565614807,0.19067616558475517,0.45594120609461475,0.3533826283206301,0.2046071530841017,0.052817674181221984,0.004793112914298895,8.20600329374327e-05
ASM,American Samoa,21415.390009595267,48.915417046588914,0.1982670919339244,0.47251780277617095,0.3292151052899046,0.1792314758168518,0.03744834491800667,0.0020622551287410892,1.5222527545028358e-05
ATG,Antigua and Barbuda,41062.40897059848,52.02608502373717,0.18580347589346247,0.44522008505078225,0.3689764390557553,0.22146400361916452,0.0645072189769846,0.00770599908900199,0.00020926671556595157
AUS,Australia,33368221.02292983,54.67245893051884,0.17629795772035975,0.4236403424564011,0.4000616998232392,0.25634716245468875,0.09248950403454101,0.017609873222045314,0.0010326650552976151
AUT,Austria,4910803.793275591,53.64323943296937,0.17988834829859618,0.4318214287110826,0.38829022299032123,0.2429979709100851,0.08125727038289829,0.01316762039123873,0.0005951005813264033
AZE,Azerbaijan,6698512.841051562,50.185153643155104,0.19300025434982768,0.4611805953902312,0.3458191502599411,0.19648115805586955,0.047507413698533243,0.00369597706757663,4.8848829310126855e-05
BDI,Burundi,30084811.804269973,44.36977557374847,0.21940539187545188,0.515621582469455,0.2649730256550931,0.11815600293839208,0.012363867190547478,0.00012156017752811392,4.745223309894017e-08
BEL,Belgium,7513535.829657551,53.695724946803836,0.17969825190059924,0.4314075157123152,0.3888942323870855,0.24366777596652905,0.08179040436032599,0.013358566858199193,0.0006108099828602896
BEN,Benin,30732944.267684996,43.1950749780061,0.22548980864687318,0.5273449949708944,0.24716519638223242,0.10298254840774505,0.008487018358624492,4.431848171599165e-05,5.641558938493736e-09
BES,"Bonaire, Sint Eustatius and Saba",16787.728823705835,51.53700686374698,0.18766236069086256,0.4493978698450446,0.3629397694640929,0.2148517146090334,0.05972532339807117,0.00641690139594578,0.00014624204041164892
BFA,Burkina Faso,35690358.97212221,43.13231857068172,0.22584482648152265,0.5278872890748262,0.24626788444365097,0.1022947876607761,0.008357886702481963,4.280891817984978e-05,5.295937289458498e-09
BGD,Bangladesh,139091347.0543163,52.17170110506632,0.18523227544113127,0.4440491694105246,0.3707185551483442,0.22331991754916075,0.06578740088259398,0.008054122408813284,0.00022751380435009544
BGR,Bulgaria,2158350.6759907114,50.636579842648274,0.19120479571124946,0.45714818117870903,0.3516470231100416,0.20272648943313845,0.05155281663902477,0.004515714332267493,7.282184838272305e-05
BHR,Bahrain,2626446.7707777126,54.66561440269374,0.17629507289623847,0.4237452154045042,0.3999597116992573,0.25620130259183593,0.09243288552417667,0.01771686091997084,0.001086718811164743
BHS,Bahamas,265657.6200097346,51.1278455314433,0.1892713795140813,0.45286563724981554,0.3578629832361032,0.2094025473804317,0.05603523917800413,0.0055248260600518715,0.00010852668059162307
BIH,Bosnia and Herzegovina,770090.8463700406,52.05695381382983,0.18569312591112325,0.44493804954248867,0.3693688245463881,0.2219210176484987,0.06485387885462608,0.00780501200401283,0.00021510397006579908
BLM,Saint Barthélemy,4748.2640722550195,54.46520747854625,0.17703410196395833,0.4252134347513502,0.3977524632846915,0.2537934412657313,0.0904493184347818,0.016863105152345546,0.0009808313461012689
BLR,Belarus,2321064.4541044487,50.30953615653211,0.19254367646218915,0.45994381329892114,0.34751251023888985,0.19841088447327196,0.048890026485057705,0.003992696319053358,5.778624250322837e-05
BLZ,Belize,255656.51381237461,50.32212932287424,0.1924500546273484,0.45995414888620095,0.34759579648645056,0.19837673586073007,0.04871502287797828,0.0039327655330832255,5.5528416390393534e-05
BMU,Bermuda,20470.415079056555,53.763451410095016,0.17949636788401296,0.4307663155290455,0.3897373165869416,0.24473470310934112,0.08287683845971758,0.013858963767875924,0.000667382856752073
BOL,Bolivia (Plurinational State of),12528924.168043809,47.17258605871489,0.20592415674659884,0.4886518654471081,0.30542397780629305,0.15547618365159804,0.025752879452102178,0.0008063957485231861,2.2919972905889225e-06
BRA,Brazil,98895232.36926274,51.18521421961811,0.18902823161179735,0.4524186376394875,0.35855313074871514,0.2101011718809368,0.056438273931903496,0.005607836073356233,0.00011192953428663145
BRB,Barbados,119599.0397470496,50.739143727312445,0.19077342369792083,0.456324181612992,0.35290239468908724,0.2039958106158742,0.052314308177806794,0.004670178986975866,7.784003182520384e-05
BRN,Brunei Darussalam,309039.28560384363,51.02786973097397,0.18963054541237886,0.4538149527853214,0.3565545018022998,0.2079163692189055,0.05490370402290785,0.005241658829266971,9.792488611025844e-05
BTN,Bhutan,416499.85770340014,50.65160405593789,0.1911075165396351,0.4571279590841685,0.3517645243761965,0.20275121909847205,0.05146132376470612,0.0044865827606000806,7.246088832203665e-05
BWA,Botswana,2690428.5985386097,46.88176854201937,0.20725996617857395,0.491380620579161,0.30135941324226495,0.1515595197027665,0.024081876894831176,0.000681074079568553,1.6302107854709403e-06
CAF,Central African Republic,14678073.278019954,43.25506779150481,0.2251868374443235,0.526682720754242,0.24813044180143445,0.10381966108970331,0.008696320055709698,4.757209538938087e-05,6.606951148794906e-09
CAN,Canada,38092470.958854854,54.07955837483868,0.17834959978280995,0.428322261759096,0.3933281384580941,0.2486903434086158,0.08597510569234823,0.014965124160972601,0.000761650569233792
CHE,Switzerland,6473244.396915914,54.53607713260868,0.1767687133361269,0.4247030388616363,0.3985282478022367,0.2546089058248445,0.09100966395515331,0.017003089173498586,0.000970582117156602
CHL,Chile,7117659.921447939,53.9429143042433,0.17881501689953308,0.4294466370504487,0.39173834605001834,0.24685601820163747,0.08440631350235431,0.014365024168025714,0.0007133760059774486
CHN,China,275248322.9100262,52.34613220420422,0.18460364827922465,0.4425218903547688,0.3728744613660065,0.22577311801582353,0.06771311232984645,0.008648063401424964,0.0002670904171531244
CIV,Côte d'Ivoire,87537204.35646726,43.528004119597725,0.22374544374717673,0.5239660726120908,0.2522884836407324,0.1072842224973174,0.009509248560747767,6.046038558528254e-05,1.09617452992103e-08
CMR,Cameroon,74347007.17721224,46.06138009776223,0.2110870079048844,0.4992342232398079,0.28967876885530774,0.14045379032333893,0.01964281243759412,0.0004036749510341636,5.593492492493163e-07
COD,Democratic Republic of the Congo,355212445.8276651,43.646936670987046,0.22313350666522858,0.5227400966913631,0.25412639664340825,0.1088595339796749,0.009909722310457938,6.777470318779976e-05,1.4030618189350782e-08
COG,Congo,17230159.25857159,46.26957535421381,0.21009445788840322,0.49726439565596664,0.2926411464556301,0.14321265716675358,0.020674425796940583,0.0004596677457928558,7.274459286525008e-07
COK,Cook Islands,5086.333582052206,51.27495261291071,0.1886840089981941,0.451631192470556,0.3596847985312498,0.2113413272483457,0.05729939263314653,0.005813239026609308,0.00011987225029489838
COL,Colombia,28363329.035523653,52.04028987636687,0.1857451201962776,0.44511139854389126,0.3691434812598312,0.2216369228534532,0.06461173611901941,0.00773075500012958,0.0002106646507962802
COM,Comoros,1526528.541243976,47.135342597838104,0.2060811922744303,0.48904566258392407,0.3048731451416456,0.1549057209777308,0.025472767454478202,0.0007825924033941155,2.148302422460357e-06
CPV,Cabo Verde,234329.5934916879,51.162421547439386,0.18911839222962276,0.45261561825818236,0.35826598951219485,0.20979288512608574,0.05623556193610418,0.005562419074127302,0.00011040013859241019
CRI,Costa Rica,2086751.9990525858,53.7804757179428,0.17940114274306218,0.43071735656973226,0.3898815006872056,0.24479255621364354,0.08274341829450566,0.013737142011490074,0.0006517695215259481
CUB,Cuba,3068250.1573719005,52.31037681640892,0.18472952646031343,0.44283682845863426,0.37243364508105226,0.2252635128087202,0.06729191814325974,0.008505817997698973,0.00025523575992746344
CUW,Curaçao,61421.98120256714,51.01979416223433,0.189707358487561,0.4537506322733143,0.35654200923912466,0.20805007510559628,0.05516054600129064,0.005330706410059326,0.00010287943033788843
CYM,Cayman Islands,82613.10551773493,54.01307125118039,0.1785744243140251,0.42887238616693724,0.3925531895190376,0.24778975130830136,0.0851984713628576,0.014657950768415204,0.0007320474074074644
CYP,Cyprus,829177.8189233439,53.825060859246605,0.17923288158761144,0.4303830417766555,0.39038407663573305,0.2453313920157657,0.08312930295520152,0.013855659835285491,0.0006574157906120394
CZE,Czechia,5528008.46736709,52.51491602668766,0.18398070113067075,0.4410938939150719,0.37492540495425736,0.2280519136406339,0.06943573352070823,0.009155618464829294,0.0002926534413834786
DEU,Germany,49572050.03805548,53.33004379376707,0.18100175870604696,0.43437755895594493,0.3846206823380082,0.2388515601541029,0.07786537597373452,0.011931230521535633,0.0004891951299042495
DJI,Djibouti,1366370.698856311,46.69682473510939,0.2081178876862691,0.4931206763394604,0.2987614359742704,0.14907830310312983,0.023057455186116713,0.0006101685875664805,1.3052016976278498e-06
DMA,Dominica,29764.116540394007,48.576959675380124,0.19971571293893847,0.4755985140316961,0.32468577302936547,0.1746187204467978,0.03499414680090955,0.0017447195264065963,1.0914696410334975e-05
DNK,Denmark,4086931.0396525185,53.209485162555566,0.18142843277084145,0.4353818008307212,0.3831897663984373,0.23722579783055012,0.07653757988965011,0.011462306791702693,0.0004524552260759642
DOM,Dominican Republic,7679488.482693119,49.57364970789926,0.19550567331401209,0.46660032851240996,0.3378939981735779,0.18817764866993067,0.042504206156218374,0.002818236402893242,2.842115100973293e-05
DZA,Algeria,45176281.75756007,52.13100736325196,0.18538177420951768,0.4444012921779059,0.3702169336125765,0.22276073145898057,0.06536459290552235,0.007932753625780598,0.00022098729828262984
ECU,Ecuador,12013300.12532911,51.75071470519958,0.1868402473160065,0.4475803826343814,0.36557937004961205,0.21772020668447886,0.061755699987804585,0.006944467274551511,0.00017037197461719394
EGY,Egypt,147095340.48151636,48.97436538094256,0.1979918739106641,0.4720604458959711,0.32994768019336485,0.17991081880812723,0.03774987653336292,0.0020976601293978625,1.5716296917961375e-05
ERI,Eritrea,6830842.021346202,48.799325704270736,0.19874399451542588,0.473627465134865,0.32762854034970906,0.17755655868175466,0.03649844405985973,0.0019316246285540199,1.3277323341289641e-05
ESH,Western Sahara,568137.0432088322,48.73874961624977,0.1989872009419451,0.47422615322110584,0.32678664583694894,0.1766667192122385,0.03597787595438295,0.001860651642218465,1.2413903219497145e-05
ESP,Spain,21135919.6567938,54.134172819227764,0.17818012405300707,0.42783634080883115,0.39398353513816176,0.24949664317014578,0.08674887242569777,0.015310420326808682,0.0008004580024916343
EST,Estonia,497439.9313838903,52.612721387810346,0.18364858623523617,0.44019956571743557,0.37615184804732826,0.22950070648832968,0.07067643827709279,0.009585112824826481,0.0003233359242547154
ETH,Ethiopia,303296698.5086485,48.65944566541627,0.19936998097423037,0.4748097492341031,0.3258202697916665,0.17579944998465402,0.03563629081846684,0.0018267161161244748,1.192068106923597e-05
FIN,Finland,2917712.4762262963,53.23905307641323,0.1813445052186169,0.43508178900981603,0.3835737057715671,0.2377269852451959,0.07703792149279033,0.011669628288130384,0.0004725833501384264
FJI,Fiji,567162.2529239599,45.741980799938915,0.21262849944723725,0.5022517925607936,0.28511970799196923,0.13626351739656745,0.01813929587958386,0.00032962482123986917,3.7198426323068755e-07
FLK,Falkland Islands (Malvinas),1470.896173024554,52.916048773573316,0.1824867614889877,0.43781504848036545,0.37969819003064686,0.2332997462786898,0.07342773576687726,0.010419147021495632,0.00037709844960547083
FRA,France,51089751.72537065,54.51951925744859,0.1768453134709987,0.4247878139424151,0.39836687258658615,0.2544775271946312,0.0909852738130251,0.01702185619796204,0.0009708378313055154
FRO,Faroe Islands,44683.88389691892,53.98881619619998,0.17865860141005674,0.429063388494967,0.39227801009497626,0.24747805709083226,0.084904478718926,0.014517728887793258,0.0007120692930974381
FSM,Micronesia (Fed. States of),86713.96732787731,45.76855748582609,0.21254142049209498,0.5018371053236408,0.2856214741842642,0.1368489410867099,0.018443241808186503,0.0003485940662061521,4.2711478302997274e-07
GAB,Gabon,5878292.186944427,47.73599428491235,0.20339593318975152,0.48335467063060256,0.313249396179646,0.16316481530321036,0.02928111034275234,0.0011171963313744225,4.428815616691438e-06
