iso3,country_name,original_2026_to_2060_rate,original_source_method,original_source_year,original_oecd_2024_projected_fallback,new_2061_forward_rate,new_source,new_source_years,new_calculation_method,new_fallback_used,new_fallback_donor_count,new_fallback_donor_iso3,new_source_path,new_source_sha256,new_policy_id,rate_change_percentage_points
AGO,Angola,0.10384533241310046,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2024,False,0.106227544338657,World Bank WDI NE.GDI.FTOT.ZS,2024,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.23822119255565433
ARE,United Arab Emirates,0.2649423251162367,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2009,False,0.223283039488531,World Bank WDI NE.GDI.FTOT.ZS,2024,unweighted_median_of_74_modeled_country_WDI_2024_GFCF_GDP_percentages_divided_by_100,True,74,AGO;ARG;AUS;AUT;BEL;BGD;BGR;BLR;BRA;BRN;CAN;CHE;CHL;CHN;CIV;CMR;COD;COL;CRI;CYP;CZE;DEU;DNK;EGY;ESP;EST;FIN;FRA;GBR;GRC;HKG;HRV;HUN;IDN;IND;IRL;ISL;ISR;ITA;JPN;KAZ;KHM;KOR;LTU;LUX;LVA;MAR;MEX;MLT;MYS;NLD;NOR;NZL;PAK;PER;PHL;POL;PRT;ROU;RUS;SAU;SEN;SGP;STP;SVK;SVN;SWE;THA;TUN;TUR;UKR;USA;VNM;ZAF,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,-4.165928562770571
ARG,Argentina,0.1545897077285381,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.16000034749903702,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.541063977049891
AUS,Australia,0.2384957942255656,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.24328717473155698,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.47913805059913717
AUT,Austria,0.23367344731894873,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.23526710022966402,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.1593652910715282
BEL,Belgium,0.2373766477271793,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.238945707368656,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.15690596414766889
BGD,Bangladesh,0.2726170840933099,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.285411003849809,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,1.2793919756499073
BGR,Bulgaria,0.19589055019405968,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.20132259515094098,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.5432044956881293
BLR,Belarus,0.24779875653926606,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.25082190136904503,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.3023144829778973
BRA,Brazil,0.16523265625739028,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.168390252318469,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.315759606107871
